doenca,sintomas,sintoma_critico
Resfriado Comum,febre baixa; espirros; coriza,
Gripe,febre; dor de garganta; tosse seca,febre
Amigdalite,dor de garganta; febre; dificuldade para engolir,dor de garganta
Bronquite,tosse produtiva; falta de ar; cansaço,tosse produtiva
Pneumonia,febre alta; tosse com catarro; dor no peito,tosse com catarro
Sinusite,dor facial; congestão nasal; secreção nasal,dor facial
Otite,dor no ouvido; secreção; febre,dor de ouvido
Dengue,febre alta; dor no corpo; dor atrás dos olhos,febre alta
COVID-19,febre; tosse seca; perda de paladar e olfato,perda de paladar e olfato
Diabetes Tipo 2,sede excessiva; fadiga; visão embaçada,
Hipertensão,dor de cabeça; tontura; visão turva,visão turva
Gastrite,queimação no estômago; dor abdominal; náuseas,dor abdominal
Úlcera Péptica,dor no estômago; náuseas; perda de apetite,
Refluxo Gastroesofágico,azia; regurgitação; dor no peito,
Febre Tifoide,coceira; diarreia; febre,
Raquitismo,dificuldade para respirar; dor de cabeça; coceira; dor no peito; febre,
Tétano,rigidez articular; vômito; vermelhidão na pele; irritabilidade; dificuldade para respirar; tontura,
Poliomielite,fadiga; tremores; coceira; rigidez articular; irritabilidade; inchaço,
Doença de Addison,tontura; tremores; vermelhidão na pele,
Doença de Wilson,vermelhidão na pele; fraqueza muscular; diarreia; dor abdominal,
Doença de Graves,dor no peito; diarreia; dificuldade para respirar; vermelhidão na pele,
Síndrome de Cushing,tontura; vômito; náusea; perda de apetite; dor no peito,
Gota,chiado no peito; irritabilidade; febre; perda de apetite,
Síndrome Nefrótica,perda de apetite; fadiga; vômito; dor no peito; náusea,
Lupus Eritematoso Sistêmico,dor abdominal; perda de apetite; vermelhidão na pele; febre,
Anemia Falciforme,dor abdominal; diarreia; febre; náusea; tremores,
Hemofilia,coceira; irritabilidade; perda de peso,
Eczema Seborreico,chiado no peito; febre; irritabilidade; fraqueza muscular; náusea,
Pancreatite,vermelhidão na pele; diarreia; chiado no peito; tremores,
Fibrose Cística,fraqueza muscular; coceira; febre,
Insuficiência Hepática,inchaço; erupção cutânea; dor no peito; perda de apetite,
Enfisema Pulmonar,tosse; erupção cutânea; coceira; perda de apetite,
Melanoma,tremores; chiado no peito; dor abdominal; febre; perda de apetite; náusea,
Câncer de Pele,inchaço; fraqueza muscular; dificuldade para respirar; erupção cutânea; náusea; diarreia,
Paralisia Cerebral,irritabilidade; vermelhidão na pele; dor de cabeça,
Síndrome de Down,tremores; perda de apetite; fadiga; dor de cabeça,
Fenilcetonúria,irritabilidade; perda de peso; rigidez articular; coceira; fraqueza muscular,
Síndrome de Turner,febre; perda de peso; chiado no peito; diarreia; fadiga,
Síndrome de Marfan,inchaço; vermelhidão na pele; vômito; tosse; dor abdominal,
Esclerodermia,diarreia; erupção cutânea; tontura; perda de peso; tosse,
Síndrome de Stevens-Johnson,rigidez articular; perda de apetite; irritabilidade; náusea,
Síndrome de Sjogren,dificuldade para respirar; tosse; tremores; febre,
Anemia Ferropriva,erupção cutânea; coceira; chiado no peito; dor de cabeça,
Bócio,perda de peso; rigidez articular; vômito; tosse; dor abdominal,
Acromegalia,fadiga; tosse; tontura,
Hiperparatireoidismo,tremores; tosse; inchaço; vômito,
Hipoparatireoidismo,rigidez articular; náusea; dor abdominal; febre; irritabilidade; dificuldade para respirar,
Endometriose,rigidez articular; irritabilidade; dor abdominal; diarreia; perda de peso,
Mioma Uterino,perda de apetite; tremores; inchaço; coceira,
Prostatite,diarreia; tontura; dificuldade para respirar; náusea; coceira; perda de peso,
Infecção Urinária,chiado no peito; tosse; erupção cutânea,
Cistite,inchaço; erupção cutânea; tontura; perda de peso; vermelhidão na pele,
Uretrite,tremores; fadiga; rigidez articular; vermelhidão na pele; náusea,
Diverticulite,vômito; inchaço; dor abdominal; diarreia; dificuldade para respirar; fadiga,
Pneumotórax,rigidez articular; dor no peito; fraqueza muscular; irritabilidade; chiado no peito,
Efusão Pleural,perda de apetite; tremores; chiado no peito; dor de cabeça,
Hipertensão Pulmonar,chiado no peito; dor de cabeça; rigidez articular; diarreia; tontura; fraqueza muscular,
Fibrose Pulmonar,fadiga; dificuldade para respirar; vermelhidão na pele; náusea; vômito; perda de peso,
Sarcoidose,dificuldade para respirar; chiado no peito; dor no peito; tontura; dor abdominal,
Antracose,irritabilidade; dor abdominal; rigidez articular; febre; erupção cutânea,
Blastomicose,dor no peito; coceira; perda de apetite; chiado no peito; vômito,
Síndrome do Túnel do Carpo,vermelhidão na pele; fraqueza muscular; rigidez articular,
Tendinite,perda de apetite; dor abdominal; fadiga; náusea; vermelhidão na pele,
Luxação,perda de apetite; vômito; tontura; irritabilidade; coceira,
Trombose Venosa Profunda,irritabilidade; dor abdominal; dificuldade para respirar; perda de apetite,
Doença Vascular Periférica,dor no peito; perda de peso; erupção cutânea; chiado no peito,
Acidente Vascular Cerebral,erupção cutânea; rigidez articular; irritabilidade; dor de cabeça; diarreia; dor abdominal,
Neuralgia do Trigêmeo,inchaço; dor de cabeça; tosse,
Radiculopatia,diarreia; tontura; chiado no peito; vermelhidão na pele; tosse,
Infertilidade Masculina,dor abdominal; dificuldade para respirar; rigidez articular; vômito,
Dismenorreia,dificuldade para respirar; dor de cabeça; fadiga; irritabilidade; erupção cutânea; perda de apetite,
Amenorreia,dor abdominal; dor de cabeça; tontura; irritabilidade; perda de peso; dor no peito,
Gravidez Ectópica,tontura; perda de apetite; coceira; rigidez articular,
Síndrome de Hellp,inchaço; náusea; tontura; rigidez articular,
Eclâmpsia,diarreia; perda de apetite; fraqueza muscular; chiado no peito,
Herpes Zóster,vermelhidão na pele; dificuldade para respirar; fraqueza muscular; tontura,
Febre Maculosa,fraqueza muscular; coceira; vômito; rigidez articular; tontura,
Erliquiose,febre; coceira; perda de apetite; perda de peso; inchaço; diarreia,
Diarreia do Viajante,dor abdominal; inchaço; dor no peito,
Giardíase,perda de peso; irritabilidade; tremores; vômito; tontura; náusea,
Cryptosporidiose,perda de apetite; inchaço; chiado no peito; diarreia; tremores; vermelhidão na pele,
Toxoplasmose,chiado no peito; irritabilidade; tremores; diarreia; fadiga,
Laringite,rouquidão; dor de garganta; tosse seca; dificuldade para falar,
Doença de Lyme,erupção cutânea em formato de alvo; dor nas articulações; febre; fadiga,
Sinusite,congestão nasal; dor facial; dor de cabeça; secreção nasal espessa,dor facial
Gripe H1N1,febre alta; dores musculares; fadiga extrema; tosse seca,
Fibromialgia,dor generalizada; fadiga; dificuldade para dormir; dor muscular,
